feature,clinical_domain,train_smd,train_fdr,train_abs_smd,train_differential_supported,test_smd,test_fdr,test_abs_smd,same_effect_direction
GCS_last,Neurological,-0.958434019281065,6.132619340012657e-128,0.958434019281065,True,-1.0711096877753492,1.1019077374226004e-79,1.0711096877753492,True
GCS_median,Neurological,-0.7801151412209799,1.46594284487676e-93,0.7801151412209799,True,-0.8886130157516676,6.180880046880206e-61,0.8886130157516676,True
GCS_mean,Neurological,-0.7376629302379599,3.338369423303455e-84,0.7376629302379599,True,-0.839252572602224,2.8802545237962622e-55,0.839252572602224,True
GCS_max,Neurological,-0.7077541748887906,2.460690464285912e-70,0.7077541748887906,True,-0.7921459518703698,1.797323366917688e-44,0.7921459518703698,True
BUN_last,Renal,0.618343022832786,6.1539920675239295e-59,0.618343022832786,True,0.5270108907144306,6.109967023622573e-23,0.5270108907144306,True
BUN_min,Renal,0.5727155370134831,3.267638573503371e-51,0.5727155370134831,True,0.5179120521882756,3.2392111455447523e-22,0.5179120521882756,True
BUN_mean,Renal,0.5704491870266521,1.1334651594067783e-51,0.5704491870266521,True,0.5028529635842515,2.546970729337263e-21,0.5028529635842515,True
BUN_median,Renal,0.5631524454507951,9.624145431345929e-51,0.5631524454507951,True,0.5055187879355572,1.5955320061085676e-21,0.5055187879355572,True
BUN_max,Renal,0.5598062459134443,1.195920515586957e-50,0.5598062459134443,True,0.4781604626486203,9.612148676946726e-20,0.4781604626486203,True
BUN_first,Renal,0.5000422166262223,1.3716772219795487e-41,0.5000422166262223,True,0.4459276459378463,1.2340333932902142e-17,0.4459276459378463,True
n_unique_parameters,Measurement / missingness,0.48913999182614426,1.3226770271153793e-50,0.48913999182614426,True,0.48948663081063043,4.937383937389625e-26,0.48948663081063043,True
HCO3_last,Metabolic,-0.4806341377639555,1.1791409434169193e-39,0.4806341377639555,True,-0.46843969854460604,2.561536469186923e-20,0.46843969854460604,True
FiO2_count,Respiratory,0.46827917101042993,1.1741739280605503e-43,0.46827917101042993,True,0.4729889455629121,3.6143814617904264e-23,0.4729889455629121,True
Na_count,Metabolic,0.465554618970517,4.2520015267313125e-37,0.465554618970517,True,0.406901291685861,5.441886929573881e-16,0.406901291685861,True
MechVent_count,Respiratory,0.46134004299090003,1.1520647843238323e-40,0.46134004299090003,True,0.4989861392831016,8.82815775694517e-25,0.4989861392831016,True
Glucose_count,Metabolic,0.4448650820173861,2.087255611455859e-34,0.4448650820173861,True,0.3699816117108095,5.461032324918775e-14,0.3699816117108095,True
K_count,Metabolic,0.4254909860984612,1.5622000736315652e-32,0.4254909860984612,True,0.35710491024439245,3.364259415451459e-13,0.35710491024439245,True
Urine_last,Renal,-0.4206462089975607,8.165413794240567e-48,0.4206462089975607,True,-0.4402795011467474,8.615385916463577e-30,0.4402795011467474,True
HCO3_min,Metabolic,-0.4145924629220574,2.845470706352416e-30,0.4145924629220574,True,-0.3900107821965553,8.514634729468418e-15,0.3900107821965553,True
Urine_mean,Renal,-0.4121598420525257,2.906580474311968e-33,0.4121598420525257,True,-0.5261786840309141,3.954250835236672e-37,0.5261786840309141,True
HCO3_count,Metabolic,0.39633605402534905,5.480295617298967e-27,0.39633605402534905,True,0.3186138029525182,2.1519557928485074e-10,0.3186138029525182,True
HCO3_mean,Metabolic,-0.3935009288413536,1.423211553989817e-27,0.3935009288413536,True,-0.36851028222398813,2.2503096103274906e-13,0.36851028222398813,True
Lactate_count,Metabolic,0.3924883644986756,1.1897638342425319e-25,0.3924883644986756,True,0.39474751721281787,7.658448014191307e-14,0.39474751721281787,True
HCO3_median,Metabolic,-0.39018130972665027,3.720107962407117e-27,0.39018130972665027,True,-0.35941278188672326,8.495110039368287e-13,0.35941278188672326,True
Lactate_missing,Metabolic,-0.389920075380479,2.1944456157558136e-33,0.389920075380479,True,-0.4173249133167239,6.671627886984157e-20,0.4173249133167239,True
static_Age,Static / demographic,0.3895007421271482,6.420192368212919e-33,0.3895007421271482,True,0.35750325408127753,7.687119494623322e-15,0.35750325408127753,True
Lactate_last,Metabolic,0.3830450538645792,6.946294244554077e-20,0.3830450538645792,True,0.35899992014580356,1.1655813072437443e-09,0.35899992014580356,True
BUN_count,Renal,0.37253644717575346,4.07010776903452e-24,0.37253644717575346,True,0.3045916693579031,1.3209787694338526e-09,0.3045916693579031,True
Creatinine_count,Renal,0.36889287961932304,8.035133121587597e-24,0.36889287961932304,True,0.30534849856238416,1.1655813072437443e-09,0.30534849856238416,True
Lactate_mean,Metabolic,0.365472488534543,3.8694177709867843e-19,0.365472488534543,True,0.32927553545545035,6.167387070307661e-09,0.32927553545545035,True
