model,attribute,comparison,group,n,mortality_rate,predicted_positive_rate,mean_predicted_risk,tn,fp,fn,tp,tpr,fpr,fnr,tnr,ppv,npv
XGBoost,Age,>65 vs <=65,<=65,1894,0.10929250263991552,0.1979936642027455,0.28240812741172794,1458,229,61,146,0.7053140096618358,0.13574392412566685,0.2946859903381642,0.8642560758743332,0.3893333333333333,0.9598420013166556
XGBoost,Age,>65 vs <=65,>65,2106,0.1794871794871795,0.3613485280151947,0.40020919620463624,1264,464,81,297,0.7857142857142857,0.26851851851851855,0.21428571428571427,0.7314814814814815,0.3902759526938239,0.9397769516728625
XGBoost,Gender,Female vs Male,Female,1768,0.16119909502262444,0.3037330316742081,0.3691673226511249,1163,320,68,217,0.7614035087719299,0.2157788267026298,0.23859649122807017,0.7842211732973702,0.40409683426443205,0.9447603574329814
XGBoost,Gender,Female vs Male,Male,2228,0.13464991023339318,0.26840215439856374,0.32487285711436364,1556,372,74,226,0.7533333333333333,0.19294605809128632,0.24666666666666667,0.8070539419087137,0.3779264214046823,0.9546012269938651
XGBoost,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,874,0.05263157894736842,0.09153318077803203,0.17223948855123544,778,50,16,30,0.6521739130434783,0.06038647342995169,0.34782608695652173,0.9396135265700483,0.375,0.9798488664987406
XGBoost,ICUType,Other vs Cardiac Surgery Recovery Unit,Other,3126,0.172424824056302,0.3378119001919386,0.3925733357424814,1944,643,126,413,0.7662337662337663,0.24855044453034403,0.23376623376623376,0.751449555469656,0.39109848484848486,0.9391304347826087
XGBoost,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,602,0.11794019933554817,0.23588039867109634,0.33482567732070767,431,100,29,42,0.5915492957746479,0.18832391713747645,0.4084507042253521,0.8116760828625236,0.29577464788732394,0.9369565217391305
XGBoost,ICUType,Other vs Coronary Care Unit,Other,3398,0.15126545026486168,0.29252501471453796,0.34613199022298724,2291,593,113,401,0.7801556420233463,0.20561719833564493,0.2198443579766537,0.794382801664355,0.403420523138833,0.9529950083194676
XGBoost,ICUType,Other vs Medical ICU,Medical ICU,1376,0.21148255813953487,0.4258720930232558,0.4467832228401676,736,349,54,237,0.8144329896907216,0.3216589861751152,0.18556701030927836,0.6783410138248848,0.4044368600682594,0.9316455696202531
XGBoost,ICUType,Other vs Medical ICU,Other,2624,0.11204268292682927,0.20960365853658536,0.29075756322283003,1986,344,88,206,0.7006802721088435,0.14763948497854076,0.29931972789115646,0.8523605150214593,0.37454545454545457,0.9575699132111861
XGBoost,ICUType,Other vs Surgical ICU,Other,2852,0.14305750350631136,0.28330995792426367,0.3390168602275303,1945,499,99,309,0.7573529411764706,0.2041734860883797,0.2426470588235294,0.7958265139116203,0.38242574257425743,0.9515655577299413
XGBoost,ICUType,Other vs Surgical ICU,Surgical ICU,1148,0.15418118466898956,0.2857142857142857,0.35787933375946007,777,194,43,134,0.7570621468926554,0.19979402677651906,0.24293785310734464,0.800205973223481,0.40853658536585363,0.947560975609756
